repository,number,author,isApprove
"microsoft/Typescript",58350,"jakebailey",true
"microsoft/Typescript",58364,"jakebailey",true
"microsoft/Typescript",58364,"sheetalkamat",true
"microsoft/Typescript",58364,"weswigham",false
"microsoft/Typescript",58365,"DanielRosenwasser",true
"microsoft/Typescript",58365,"andrewbranch",true
"microsoft/Typescript",58366,"andrewbranch",true
"microsoft/Typescript",58366,"jakebailey",true
"microsoft/Typescript",58366,"weswigham",false
"microsoft/Typescript",58372,"jakebailey",true
"microsoft/Typescript",58372,"weswigham",true
"microsoft/Typescript",58377,"andrewbranch",true
"microsoft/Typescript",58380,"DanielRosenwasser",true
"microsoft/Typescript",58380,"jakebailey",false
"microsoft/Typescript",58380,"weswigham",true
"microsoft/Typescript",58386,"sheetalkamat",true
"microsoft/Typescript",58388,"RyanCavanaugh",false
"microsoft/Typescript",58388,"andrewbranch",true
"microsoft/Typescript",58388,"jakebailey",true
"microsoft/Typescript",58388,"sheetalkamat",false
"microsoft/Typescript",58392,"Andarist",false
"microsoft/Typescript",58392,"ahejlsberg",true
"microsoft/Typescript",58393,"JoostK",false
"microsoft/Typescript",58393,"jakebailey",true
"microsoft/Typescript",58398,"jakebailey",true
"microsoft/Typescript",58398,"sheetalkamat",false
"microsoft/Typescript",58403,"RyanCavanaugh",true
"microsoft/Typescript",58403,"ahejlsberg",false
"microsoft/Typescript",58403,"jakebailey",false
"microsoft/Typescript",58404,"sheetalkamat",true
"microsoft/Typescript",58409,"dragomirtitian",false
"microsoft/Typescript",58409,"jakebailey",true
"microsoft/Typescript",58409,"weswigham",false
"microsoft/Typescript",58410,"jakebailey",true
"microsoft/Typescript",58418,"DanielRosenwasser",false
"microsoft/Typescript",58418,"andrewbranch",true
"microsoft/Typescript",58418,"rbuckton",false
"microsoft/Typescript",58421,"andrewbranch",true
"microsoft/Typescript",58421,"jakebailey",false
"microsoft/Typescript",58428,"jakebailey",true
"microsoft/Typescript",58440,"Andarist",false
"microsoft/Typescript",58440,"jakebailey",true
"microsoft/Typescript",58451,"jakebailey",true
"microsoft/Typescript",58451,"sheetalkamat",false
"microsoft/Typescript",58454,"andrewbranch",true
"microsoft/Typescript",58454,"sheetalkamat",true
"microsoft/Typescript",58458,"sheetalkamat",true
"microsoft/Typescript",58460,"armanio123",true
"microsoft/Typescript",58460,"jakebailey",true
"microsoft/Typescript",58460,"sheetalkamat",true
"microsoft/Typescript",58462,"jakebailey",true
